Key,Id,English(en),Chinese (Simplified)(zh-Hans)
Exotext_001_DuoVoice,609198235648,"On the side of the original ""Pure White Oath"" sword, another faint sword shadow emerged. The two swords are born from the same source and can be held separately with both hands or combined into one. When separated, the sword in the left hand is lighter, while the sword in the right hand is heavier - the light one is ""I'm sorry"", and the heavy one is ""It's okay"".",原本的“纯白之誓”剑身一侧，浮现出另一道若隐若现的剑影。两把剑同源而生，可以分持双手，也可以合而为一。分开时，左手剑轻些，右手剑重些——轻的是“对不起”，重的是“没关系”。
Exotext_001_EdgeText,616555044864,"A long silver-white sword, its body adorned with faint thread patterns. When held in hand, one can feel the heartbeat of another. A small silver bell is embedded at the hilt—it is a fragment of the Pure White Guide's ""Ming Si"".",一柄通体银白的长剑，剑身有若有若无的丝线纹路。握在手中时，能感受到另一个人的心跳。剑锷处镶嵌着一枚小小的银铃——那是纯白向导的“鸣思”碎片。
Exotext_001_MnemonicTool,622179606528,"A seemingly ordinary book with a pure white cover. When opened, there are no words inside - but when the protagonist recalls his memories with the pure white guide, those memories will automatically emerge as pictures and words on the pages. Each page represents a bond, and each line is a moment that cannot be forgotten.",一本看似普通的书，封面是纯白色的。翻开时，里面没有任何文字——但当主角回想与纯白向导的回忆时，那些记忆会自动浮现为书页上的图画和文字。每一页都是一段羁绊，每一行字都是一个舍不得忘记的瞬间。
Exotext_001_StellarScribe,625241448448,"A magic staff with a tip made of star fragments, its body forged from solidified love. When wielded, it leaves a faint trail of star paths, as if writing in the void. When casting spells, words emerge from the tip that only the user can see - they are the verses the universe is whispering to him.",一柄以星辰碎片为笔尖的法杖，杖身由凝固的热爱铸成。挥动时，会留下淡淡的星轨，如同在虚空中书写。施法时，杖尖会浮现出只有使用者能看见的文字——那是宇宙正在对他低语的诗句。
Exotext_001_ThoughtChime,1806151933952,"A small silver bell, entirely pure white, has delicate patterns engraved on its body - those are the heartbeat traces of someone. When it doesn't ring, it's silent; but when it does, it echoes the words that the pure white guide wanted to say at that time: words she never uttered, but were heard by the protagonist's heart.",一枚小小的银铃，通体纯白，铃身刻着细微的纹路——那是某个人的心跳轨迹。它不响则已，一响便是纯白向导当时想说的话：那些她从未说出口，却被主角的心听见的言语。
Exotext_001_ThreadShot,1810933440512,"A bow without a bowstring, its body formed from translucent thoughts. When used, one must draw a strand of thought from the depths of their heart and tie it to both ends of the bow - the length of the bowstring is equal to the length of the thought. At the moment of shooting, the thought turns into a visible thread, cutting through all obstacles and reaching its intended destination.",一把没有弓弦的弓，弓身由半透明的思念凝成。使用时，需要从心底抽出一缕思念，系在弓的两端——思念有多长，弓弦就有多长。射出的瞬间，思念会变成可见的丝线，穿越一切阻隔，抵达它该去的地方。
Exotext_001_VotiveEmber,1813798150144,"Initially, it was just a faint, almost imperceptible glow, entwined around the protagonist's fingertips, impossible to grasp but never dissipating. It had no physical form and no offensive power, but it would slightly warm up when he felt the most lonely. In the final chapter, this glow transformed into countless light points, like a myriad of lights. Each light represented a person he remembered, a bond he cherished.",最初，它只是一缕若有若无的微光，缠绕在主角指尖，无法握住，却始终不散。它没有实体，没有任何攻击力，只是在最孤独的时候，会微微发烫。终章时，这缕微光变成了无数光点，如同万家灯火。每一盏灯，都是一个被他记住的人、一段被他珍藏的羁绊。
Exotext_002_DuoVoice,1833314246656,"One sword is pure black, the other pure white. The black sword is heavy and slow, while the white sword is light and swift. Neither is complete when used alone; only when wielded together can one possess both heaviness and lightness.",一剑纯黑，一剑纯白。黑剑沉重缓慢，白剑轻盈迅捷。单独使用时都不完整，只有双持时，才能同时拥有沉重与轻盈。
Exotext_002_EdgeText,1838561320960,"The sword blade is woven from countless fine and dense memory threads, each representing a cherished past event. When the sword is wielded, the threads quiver slightly, emitting a whisper that only the holder can hear.",剑身由无数细密的记忆丝线编织而成，每一根丝线都是一段被珍藏的往事。挥剑时，丝线会微微颤动，发出只有持有者能听见的低语。
Exotext_002_MnemonicTool,1841430224896,"A pen stemming from the same origin, akin to a sword with the same name but different forms. When used to write, every word penned becomes a memory, capable of being touched, seen, and cherished.",一支出自同一根源的笔，与同名的剑同源而异形。用它写字时，写下的每一个字都会变成记忆，可以被触摸、被看见、被珍藏。
